call_id,method,invite_time,response_times_ms,final_status,latency_ms,anomaly,latency_100,latency_180,latency_200,invite_to_180_gap,anomaly_flag
00002C6D-000004BC-DB2D1A8B-250@2001:1234:5678:9abc:2754:41:d00:0,INVITE,2015-08-05 15:57:18.788648,"{'100': 1007, '183': 1052, '200': 4518}",200 OK,4518.0,True,1007.0,,4518.0,,-1
000002EC-00001068-E3C73D10-7001@2001:1234:5678:aaaa:219:99ff:fe9d:1d71,INVITE,2015-08-05 15:57:18.796209,"{'100': 2, '183': 4, '200': 3518}",200 OK,3518.0,True,2.0,,3518.0,,-1
00002C6E-000004BC-DB2D1A8B-251@2001:1234:5678:9abc:2754:41:e00:0,INVITE,2015-08-05 15:57:18.815379,"{'100': 1027, '183': 1054, '200': 4542}",200 OK,4542.0,True,1027.0,,4542.0,,-1
000002ED-00001068-E3C73D10-7002@2001:1234:5678:aaaa:219:99ff:fe9d:1d71,INVITE,2015-08-05 15:57:18.825714,"{'100': 2, '183': 3, '200': 3504}",200 OK,3504.0,True,2.0,,3504.0,,-1
000002EE-00001068-E3C73D10-7003@2001:1234:5678:aaaa:219:99ff:fe9d:1d71,INVITE,2015-08-05 15:57:18.835512,"{'100': 2, '183': 4, '200': 3518}",200 OK,3518.0,True,2.0,,3518.0,,-1
00002DE1-000004BC-DB2D1A8B-252@2001:1234:5678:9abc:2754:41:c100:0,INVITE,2015-08-05 15:57:18.838357,"{'100': 1008, '183': 1018, '200': 4519}",200 OK,4519.0,True,1008.0,,4519.0,,-1
00002DF1-000004BC-DB2D1A8B-253@2001:1234:5678:9abc:2754:41:d100:0,INVITE,2015-08-05 15:57:18.872480,"{'100': 1016, '183': 1033, '200': 4534}",200 OK,4534.0,True,1016.0,,4534.0,,-1
000002EF-00001068-E3C73D10-7004@2001:1234:5678:aaaa:219:99ff:fe9d:1d71,INVITE,2015-08-05 15:57:18.875573,"{'100': 2, '183': 4, '200': 3505}",200 OK,3505.0,True,2.0,,3505.0,,-1
000004B6-00001068-E3C73D10-7005@2001:1234:5678:aaaa:219:99ff:fe9d:1d71,INVITE,2015-08-05 15:57:18.876048,"{'100': 1, '183': 4, '200': 3525}",200 OK,3525.0,True,1.0,,3525.0,,-1
00002E79-000004BC-DB2D1A8B-254@2001:1234:5678:9abc:2754:42:1900:0,INVITE,2015-08-05 15:57:18.889664,"{'100': 1011, '183': 1029, '200': 4517}",200 OK,4517.0,True,1011.0,,4517.0,,-1
000002F5-00001068-E3C73D10-7006@2001:1234:5678:aaaa:219:99ff:fe9d:1d71,INVITE,2015-08-05 15:57:18.896839,"{'100': 1, '183': 3, '200': 3505}",200 OK,3505.0,True,1.0,,3505.0,,-1
00003070-000004BC-DB2D1A8B-255@2001:1234:5678:9abc:2754:43:1000:0,INVITE,2015-08-05 15:57:18.914563,"{'100': 1014, '183': 1055, '200': 4541}",200 OK,4541.0,True,1014.0,,4541.0,,-1
000002F6-00001068-E3C73D10-7007@2001:1234:5678:aaaa:219:99ff:fe9d:1d71,INVITE,2015-08-05 15:57:18.920865,"{'100': 2, '183': 4, '200': 3511}",200 OK,3511.0,True,2.0,,3511.0,,-1
000030FB-000004BC-DB2D1A8B-256@2001:1234:5678:9abc:2754:43:5b00:0,INVITE,2015-08-05 15:57:18.939678,"{'100': 1009, '183': 1037, '200': 4517}",200 OK,4517.0,True,1009.0,,4517.0,,-1
000002F9-00001068-E3C73D10-7008@2001:1234:5678:aaaa:219:99ff:fe9d:1d71,INVITE,2015-08-05 15:57:18.947080,"{'100': 1, '183': 3, '200': 3505}",200 OK,3505.0,True,1.0,,3505.0,,-1
00003137-000004BC-DB2D1A8B-257@2001:1234:5678:9abc:2754:43:7700:0,INVITE,2015-08-05 15:57:18.964416,"{'100': 1013, '183': 1018, '200': 4541}",200 OK,4541.0,True,1013.0,,4541.0,,-1
000002FA-00001068-E3C73D10-7009@2001:1234:5678:aaaa:219:99ff:fe9d:1d71,INVITE,2015-08-05 15:57:18.973398,"{'100': 1, '183': 4, '200': 3511}",200 OK,3511.0,True,1.0,,3511.0,,-1
